date,open,high,low,close,volume,turnover
2016-07-04 09:15:00+05:30,483.4,490.35,483.4,489.1,950630,0.0012
2016-07-04 10:15:00+05:30,489.1,492.05,488.55,491.45,603618,0.00118
2016-07-04 11:15:00+05:30,491.7,491.95,489.4,489.8,514331,0.0010
2016-07-04 12:15:00+05:30,489.8,490.65,488.15,488.75,374728,0.0009
2016-07-04 13:15:00+05:30,488.85,489.55,488.25,488.75,31432,0.0012
2016-07-04 14:15:00+05:30,488.75,490.3,487.45,489.15,511010,0.0015
2016-07-04 15:15:00+05:30,489.1,489.25,487.95,488.55,323005,0.0013
2016-07-05 09:15:00+05:30,488.55,490.1,486.5,486.95,441230,0.0017
2016-07-05 10:15:00+05:30,486.9,488.05,485.55,486.9,320247,0.0010
